AbsClampIATCall                        returned 0 writes, no hit
TwoEntryStateScalar                    returned 38 writes, no hit
TwoEntryWrapperGuarded                 returned 41 writes, no hit
TwoPathIATDispatch_004c7030            ran out  1 writes, no hit
TwoPathIATDispatch_004c70a0            ran out  0 writes, no hit
TwoPhaseInstallScaledPackedPtr         returned 18 writes, no hit
TwoPhasePackInstall                    returned 13 writes, no hit
TwoPushCallSetDirty                    returned 22 writes, no hit
TwoStageAudioInit                      ran out  7 writes, no hit
TwoStageSelectorInit                   ran out  13 writes, no hit
TwoStageSetupTripleCopy                returned 4 writes, no hit
TwoStageWalkGate                       returned 1 writes, no hit
TwoStateCopyDup                        returned 1 writes, no hit
TwoStateLookupDirty                    returned 6 writes, no hit
ULongLongDivRem                        EMU-ERROR UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)
ULongLongMod                           EMU-ERROR UcError: Unhandled CPU exception (UC_ERR_EXCEPTION)
UllShlAndInit                          returned 0 writes, no hit
UnlinkChainInstall_0043d040            returned 4 writes, no hit
UnlinkChainInstall_00460dd0            returned 4 writes, no hit
UpdateWindowTitle                      returned 0 writes, no hit
UpperBodyComboFsmCluster               returned 1 writes, no hit
ValidateInstall                        ran out  0 writes, no hit
Vec2ChainComputeStores                 returned 4 writes, no hit
Vec2SumMul10ChainCompute               returned 3 writes, no hit
Vec3AccMul10ChainBlend                 returned 16 writes, no hit
Vec3AddViaHelper                       returned 4 writes, no hit
Vec3ColorShiftClamp                    returned 2 writes, no hit
Vec3DeltaDualMul10                     returned 1 writes, no hit
Vec3NormalizeScaleStore                returned 0 writes, no hit
Vec3PackedTripleCallBracket            returned 2 writes, no hit
Vec3SetupQuadrupleMul10Sub             returned 23 writes, no hit
VecScaleMStackTripleCall               returned 5 writes, no hit
VersusScreenEventPoseCluster           returned 44 writes, no hit
VersusScreenFsmCluster                 returned 20 writes, no hit
VersusSwapCluster                      returned 13 writes, no hit
VertexQuadBuilder                      returned 13 writes, no hit
VertexSlotInitFlagWalk                 returned 18 writes, no hit
VibrationFrameUpdate                   returned 0 writes, no hit
VirtualHeapAlloc                       ran out  0 writes, no hit
VoiceMixerTickDispatch                 returned 29 writes, no hit
VoiceTableInit                         returned 2 writes, no hit
VoiceTrioBindAndKick                   returned 7 writes, no hit
VtRelease_Modal                        returned 0 writes, no hit
VtableDispatchSetDirty                 returned 6 writes, no hit
WalkCallbackSetClearDirty              returned 0 writes, no hit
WalkCbSubMul10                         returned 1 writes, no hit
WalkCj58Loop43Toggle                   returned 0 writes, no hit
WalkTowardTargetFsm                    returned 10 writes, no hit
WcToMbDispatcher                       ran out  0 writes, no hit
Wctomb                                 returned 0 writes, no hit
WeightedSumClampHelper                 returned 4 writes, no hit
Win32_GetHInstance                     returned 0 writes, no hit
WinMain                                ran out  1 writes, no hit
WinMainExceptHandler                   returned 0 writes, no hit
WindowsMsgProbe                        returned 0 writes, no hit
WndProc                                ran out  0 writes, no hit
Word9Reorder                           returned 0 writes, no hit
WorldCellSetupCluster                  returned 0 writes, no hit
WrapThreeDispatch                      ran out  0 writes, no hit
WrapperCallSelf                        ran out  1 writes, no hit
Wrapper_ArgSarStoreJmp_004eba28        ran out  4 writes, no hit
Wrapper_ArgSarStoreJmp_004ed440        returned 13 writes, no hit
Wrapper_ArgSarStoreJmp_004ed660        returned 15 writes, no hit
Wrapper_ArgSarStoreJmp_004ee850        returned 21 writes, no hit
Wrapper_ArgSarStoreJmp_004ee958        returned 9 writes, no hit
Wrapper_ArgSarStoreJmp_004eeeb0        returned 20 writes, no hit
Wrapper_Cascade5StageInit_004ef1e8     returned 21 writes, no hit
Wrapper_Cascade5StageInit_004ef208     returned 21 writes, no hit
Wrapper_CmpDualPatchScaledRangeJmp_004e4810 returned 38 writes, no hit
Wrapper_CmpDualPatchScaledRangeJmp_004e4850 returned 29 writes, no hit
Wrapper_CmpDualPatchScaledRangeJmp_004e4950 returned 38 writes, no hit
Wrapper_CmpDualPatchScaledRangeJmp_004e4990 returned 29 writes, no hit
Wrapper_IterLoad_0048fd30_004ed980     returned 12 writes, no hit
Wrapper_IterLoad_0048fd30_004f12a0     returned 8 writes, no hit
Wrapper_IterLoad_0048fd30_004f12a8     returned 5 writes, no hit
Wrapper_IterLoad_0048fd30_004f12ac     returned 5 writes, no hit
Wrapper_OrListLoop_004d8e80            returned 2728 writes, no hit
Wrapper_OrListLoop_004de3f8            returned 301 writes, no hit
Wrapper_PackedAdvanceCallTailJmp_004e44f0 returned 18 writes, no hit
Wrapper_PackedAdvanceCallTailJmp_004e46d0 returned 41 writes, no hit
Wrapper_PackedAdvanceCallTailJmp_004e4708 returned 47 writes, no hit
Wrapper_PackedAdvanceCallTailJmp_004e4718 returned 42 writes, no hit
Wrapper_PackedAdvanceCallTailJmp_004e4a58 returned 24 writes, no hit
Wrapper_PackedAdvanceCallTailJmp_004e4a70 returned 24 writes, no hit
Wrapper_SaveCallRestore                returned 4 writes, no hit
Wrapper_ScaledChainPushCall_004ef810   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef828   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef838   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef858   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef868   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef878   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef888   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef898   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef8b0   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef8c8   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef8e0   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef8f0   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef900   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef910   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef920   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef948   returned 8 writes, no hit
Wrapper_ScaledChainPushCall_004ef980   returned 8 writes, no hit
Wrapper_ScaledIndexCondCopy            returned 2 writes, no hit
WriteCharBuffered                      returned 3 writes, no hit
WtSnapshotPushCall                     returned 5 writes, no hit
XformChainAdvance                      returned 0 writes, no hit
YRiseSpawnerCluster                    returned 4 writes, no hit
ZBucketClampStore                      returned 3 writes, no hit
ZMaskMergePop2                         returned 3 writes, no hit
ZeroAndDirty4                          returned 1 writes, no hit
ZeroEightFields                        returned 0 writes, no hit
ZeroLargeBlock                         returned 0 writes, no hit
ZeroMultiGlobalsCmp                    returned 0 writes, no hit
ZeroNDwords                            returned 0 writes, no hit
ZeroScaledZeroCallPauseJmp             returned 7 writes, no hit
ZeroSixStores6080                      returned 6 writes, no hit
ZeroSixStores6c80                      returned 6 writes, no hit
ZeroSlotsGatedDispatch                 returned 2 writes, no hit
ZeroState                              returned 0 writes, no hit
ZeroThreeFields6c                      returned 3 writes, no hit
ZeroThreeFields_00404ed0               returned 3 writes, no hit
ZeroThreeFields_0040a8b0               returned 3 writes, no hit
ZeroThreeFromArg                       returned 0 writes, no hit
ZeroThreeSlots_00490780                returned 3 writes, no hit
ZeroThreeSlots_004ac010                returned 3 writes, no hit
ZeroTriple                             returned 0 writes, no hit
ZeroTripleJmp                          ran out  25 writes, no hit
_exit_post                             ran out  0 writes, no hit
_init_main                             ran out  1 writes, no hit
_init_premain                          ran out  7 writes, no hit
_isspace_crt                           returned 0 writes, no hit
entry                                  ran out  1 writes, no hit
func_AddStore                          returned 1 writes, no hit
func_CallSetPause                      returned 1 writes, no hit
func_Chain3CallGuarded                 returned 35 writes, no hit
func_CjTableThresholdDispatch_then_GateDispatch6c_then_Wrapper_Cascade5StageInit returned 43 writes, no hit
func_CjTableThresholdDispatch_then_GateDispatch6c_then_call_ArgSarStoreJmp_00482290 returned 57 writes, no hit
func_CjTableThresholdDispatch_then_GateDispatch6c_then_call_ArgSarStoreJmp_004823b0 returned 36 writes, no hit
func_CjTableThresholdDispatch_then_GateDispatch6c_then_call_ArgSarStoreJmp_00482480 returned 55 writes, no hit
func_CjTableThresholdDispatch_then_GateDispatch6c_then_call_ArgSarStoreJmp_004824b0 returned 45 writes, no hit
func_Cmp2CallDirtyCall_then_MstackPopScaledChainPlusThunks ran out  6 writes, no hit
func_Cmp30000And18000                  ran out  6 writes, no hit
func_CmpDualPatchScaledRangeJmp_with_g_dispatchSave1234 returned 39 writes, no hit
func_CmpDualPatchScaledRangeJmp_with_g_dispatchSave1235 returned 38 writes, no hit
func_CmpP1DualInitStore_then_CjTableThresholdDispatch_then_GateDispatch6c returned 56 writes, no hit
func_CmpP1DualInitStore_then_CjTableThresholdDispatch_then_GateDispatch6c_then_Wrapper_Cascade5StageInit returned 45 writes, no hit
func_DualCmpSwapStore_then_MstackPushPackChainInit_then_call_ArgSar_Set0_Jmp returned 8 writes, no hit
func_DualEntryInitDispatch_then_ScaledInitWithCounterAndType returned 10 writes, no hit
func_DualScaledInitClear_then_FiveCallGuardSetTail returned 29 writes, no hit
func_DualSubInstallChain_g_dispatchSave935 returned 26 writes, no hit
func_DualSubInstallChain_g_dispatchSave936 returned 26 writes, no hit
func_DualSubInstallChain_g_dispatchSave937 returned 26 writes, no hit
func_DualSubInstallChain_g_dispatchSave938 returned 26 writes, no hit
func_DualSubInstallChain_g_dispatchSave939 returned 26 writes, no hit
func_DualSubInstallChain_g_dispatchSave940 returned 26 writes, no hit
func_DualSubInstallChain_g_dispatchSave941 returned 26 writes, no hit
func_EntryThunkBodyStateMachine_then_EightEntryAlarmDispatch ran out  65 writes, no hit
func_GateDispatch6c_then_ScaledChainCmp61_then_ArgSarStoreJmp_then_LiteralPushCallEntZero returned 61 writes, no hit
